price,bed,bath,sqft,addr,desc,info
"$799,900",2,2,"1,192","503-10 Chapel St, Nanaimo, BC, V9R 5H2","Ideally situated just steps to Nanaimo’s inner Harbour, Aqua Residences offers a luxurious active lifestyle in a highly walkable and central location. Enjoy a nice beverage on your 374sqft covered patio while taking in expansive ocean and mountain views.  The kitchen is sure to impress with heated floors and high end Miele Appliances including a wall oven and natural gas cooktop.  Perfect for entertaining this bright and spacious unit with 10ft ceilings is well laid out with a large kitchen island and plenty of space indoors and out. Masterfully designed primary bedroom and walk-in closet features incredible ensuite including marble heated floors and soaker tub.  Amenities include a fitness center and secure underground parking.  Steps from the seawall, seaplances, restaurants and shopping.","{'Property Tax': '$4,681 (2022)', 'Last Updated': 'Tue, July 4, 2023', 'MLS® #': '936544', 'Date Listed': 'Jul 4, 2023', 'Property Type': 'Condo', 'Square Footage': '1,192 SQFT', 'Subdivision': 'Aqua Residences', 'Rooms': '11', 'Heating': 'Baseboard, Electric', 'Pet Policy': 'Number Limit, Size Limit', 'Stories': '5', 'Flooring': 'Mixed', 'Area': 'Nanaimo', 'Sewer': 'Sewer To Lot', 'Parking Features': 'Underground', 'Fireplace Features': 'Electric'}"
"$2,999,000",N/A,0,"5,088","571 Albert St, Nanaimo, BC, V9R 2W1","2019 built 10 unit building with rental income of $9983+utilities per month is up for grabs. Close to ammenities, transit, ferries, float planes, shopping, mall, schools, parks, churches is not the only reason this property has almost 100% occupied rate with wait list. The building is really well managed, clean with wonderful tenants in place.  Seller retiring, option to vendor financing also available. If you have been looking to build your rental portfolio for passive income, this is the one you need to score. Fully tenanted to viewings are only Friday June 16, 2023 between 10-1 PM. If you plan on viewing without representation, please notify us in advance. Offers if any to be presented June 18, at 5 PM. All measurements from BC assessment are approximate, buyer to verify if fundamental to purchase.","{'Property Tax': '$10,585 (2022)', 'Last Updated': 'Tue, June 27, 2023', 'MLS® #': '934531', 'Date Listed': 'Jun 12, 2023', 'Property Type': 'MultiFamily', 'Square Footage': '5,088 SQFT', 'Area': 'Nanaimo', 'Parking Features': 'On Site'}"
"$489,900",2,1,933,"137 Strickland St, Nanaimo, BC, V9R 4S3","First home ? Retirement ? Investor ? Then do not miss this 933 sq ft cute dolls house on 6600 sq ft lot. It features 2 bedrooms , living room with fireplace, country kitchen ,oversize laundry and storage room. And wait to you see the size of the deck overlooking the private back yard. Easy care vinyl siding. New hot water tank. Need some extra storage for tools and bikes ? We also have a 12x16 separate building for those.  This home is clean and neat and awaits a new family. Now is the time to become a home owner. Close to schools ,parks, Vancouver Island University and major downtown shopping. Take the 3D tour and book your appointment today .","{'Property Tax': '$2,638 (2023)', 'Last Updated': 'Mon, July 10, 2023', 'MLS® #': '934305', 'Date Listed': 'Jun 8, 2023', 'Property Type': 'Single Family', 'Square Footage': '933 SQFT', 'Rooms': '8', 'Heating': 'Forced Air, Natural Gas', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Crawl Space', 'Flooring': 'Mixed', 'Area': 'Nanaimo', 'Roof': 'Fibreglass Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Driveway', 'Fireplace Features': 'Living Room', 'Exterior Features': 'Balcony/Deck, Fencing: Partial'}"
"$699,000",0,0,Land,"376 7th St, Nanaimo, BC, V9R 1E2","Fully Serviced 13500 SF lot with 110.69' (Frontage) x 116.85'. Subdivide, rezone or build options are endless. City Plan’s Future Land Use Designation for the property is Suburban Neighbourhood. City of Nanaimo confirms that rezoning to R6 would be feasible for a fourplex. Under the current R1 zoning of the property, a single residential dwelling (potentially with suite or carriage house) could be constructed. A subdivision to create a total of 2 lots may also be possible. Close to all ammenities, university, ferry, floatplanes, beaches, schools. This is definitely the one savy investor wants on their portfolio. All data to be verified by the buyer if fundamental to the purchase. Also listed 933992","{'Property Tax': '$2,313 (2023)', 'Last Updated': 'Tue, June 13, 2023', 'MLS® #': '933990', 'Date Listed': 'Jun 7, 2023', 'Property Type': 'Vacant Land', 'Subdivision': 'University District', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Area': 'Nanaimo', 'Sewer': 'Sewer Available, Sewer To Lot'}"
"$625,000",N/A,0,Land,"345 Robson St, Nanaimo, BC, V9R 2V5",This empty lot is being listed with 350 Robson Street (former site of the KEG Restaurant). It could continue to be used as a parking location to support the restaurant or if not required by the restaurant could be developed under the many permitted uses of DT2. (id:38686),"{'Property Tax': '$8,280', 'Last Updated': 'Mon, July 31, 2023', 'MLS® #': '934029', 'Date Listed': 'Jul 31, 2023', 'Property Type': 'Vacant Land'}"
"$699,900",4,3,"2,000","3960 Rock City Rd, Nanaimo, BC, V9T 4Y8","Bright and spacious home in Departure Bay, with lots of room for family, guests, or entertainment! There is 2000 square feet of living space, 4 bedrooms (plus rec room) 3 bathrooms, and a sun soaked 8000 square foot lot to enjoy your gardening and relaxation. Features include multiple skylights, gas fireplace, gas furnace, newer hot water tank and a patio that overlooks one of the great neighborhoods in Nanaimo, with schools and beaches within walking distance. Recent updates include new paint, flooring, and baseboards. Book your showing today to see if this one-of-a-kind half duplex could be your new home. Data and measurements are approximate, please verify if important.","{'Property Tax': '$4,086 (2022)', 'Last Updated': 'Tue, July 25, 2023', 'MLS® #': '937769', 'Date Listed': 'Jul 25, 2023', 'Property Type': 'Single Family', 'Square Footage': '2,000 SQFT', 'Rooms': '9', 'Heating': 'Forced Air, Natural Gas', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK, Number Limit, Size Limit', 'Stories': '2', 'Basement': 'Finished', 'Area': 'Nanaimo', 'Roof': 'Asphalt Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Garage', 'Fireplace Features': 'Gas'}"
"$825,000",5,3,"2,766","5451 Arnhem Terr, Nanaimo, BC, V9T 2M4","On a tucked away North Nanaimo street close to all amenities, sits this heritage-style 5 bed 3 full bath home on a park-like 0.41 acre lot - plus 1 bdrm suite! Rare home with 3 living rooms to choose from, a primary suite that you can retreat into & over 700 sq ft over 2 decks - there is no shortage of space with this 2700+sqft home. Charming hardwood floors & quality wood kitchen (S/S appliances) extends out to a covered BBQ area. Natural light & privacy abound from the abundant windows + 4 skylights inside; outside offers unmatched privacy found in the city with mature trees backing onto parkland plus greenspace on one side. Energy efficient gas furnace, H/W, 2 fireplaces (+1 electric) & gas range. Suite has separate entry, it’s own fenced yard & potential to share laundry. With triple carport + boat/RV pkg, shed, raised garden beds, fruit trees, tree platforms & english style gardens; the space to create the yard of your dreams is here. Shopping, restaurants, Brannen Lake all nearby","{'Property Tax': '$4,627 (2022)', 'Last Updated': 'Tue, August 1, 2023', 'MLS® #': '937551', 'Date Listed': 'Jul 17, 2023', 'Property Type': 'Single Family', 'Square Footage': '2,766 SQFT', 'Rooms': '18', 'Heating': 'Baseboard, Forced Air, Natural Gas', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Finished, Full, Walk-Out Access, With Windows', 'Area': 'Nanaimo', 'Roof': 'Fibreglass Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Carport Triple, Driveway, RV Access/Parking', 'Fireplace Features': 'Electric, Family Room, Gas, Living Room, Recreation Room', 'Exterior Features': 'Balcony/Deck, Fencing: Full, Garden'}"
"$399,900",2,1,"1,456","16622 MARQUISE STREET, Poplar Creek, BC, V0G 1N0","How Sweet It Is! Life off the beaten track and ""off-grid"" is where you want to be, nestled into your wonderfully constructed home in an out of the way part of the fantastic West Kootenay! Escape, get away, disappear...do it in style in Poplar Creek. As you head north of Kaslo, time just seems to slow down, stresses seem to fall away, it's like stepping back in time to a more peaceful existence, away from the crazy hustle and bustle that typically consumes our every day. Endless exploration and outdoor fun are at your doorstep... hike, bike, float, hunt, fish, quad, sled, you name it, it is here for you. Along with the .8 acre lot and storey and a half house there is a beautiful outdoor kitchen with massive river-rock fireplace. Knock off that adventure sweat in the outdoor shower with on demand hot water! Oh, and don't forget there is a 20x20 guest cabin (unfinished inside) with a 20x10 loft area...a great place to house those extra visitors that will flock to your paradise in the wild...BUT if you needed or wanted to stay connected there is wi-fi available as well as a solar power system that creates enough juice for daily bread and ice making! GOOGLE EARTH TAG IS CV8F+24F POPLAR CREEK BRITISH COLUMBIA (id:38686)","{'Property Tax': 'N/A', 'Last Updated': 'Mon, July 31, 2023', 'MLS® #': '2460723', 'Date Listed': 'Jul 30, 2023', 'Property Type': 'Single Family', 'Square Footage': '1,456 SQFT', 'Heating': 'Propane, Solar, Wood, Other', 'Basement': 'Unknown, Unknown, Unknown', 'Flooring': 'Wood, Mixed Flooring', 'Roof': 'Metal, Unknown', 'Sewer': 'Septic tank', 'Exterior Features': 'Stone, Hardboard'}"
"$1,160,000",3,4,"2,188","3602 Overlook Dr, Nanaimo, BC, V9T 1M6","Two residences with stunning ocean views overlooking Pipers Lagoon! Only a short walk to several beaches and parks, this thoughtfully designed property features an eco-friendly 2 bed/3 bath home built with ICF construction and radiant in-floor heating throughout, providing exceptional energy efficiency and durability. You'll love the open-concept layout and gourmet kitchen, equipped with top-of-the-line stainless steel appliances and a beautiful one of a kind live edge table. The spacious primary suite is a tranquil retreat offering ocean views throughout and boasts a walk in closet, luxurious soaking tub, and walk in shower. Enjoy the private timberframe patio and soak in the beauty of the surrounding landscape. The versatile 1 bed/1 bath carriage house is perfect for housing family or guests, vacation rentals, or as a private studio/office space. Embrace the serenity of coastal living while relishing the modern comforts and sustainable features throughout this beautiful property!","{'Property Tax': '$5,828 (2022)', 'Last Updated': 'Tue, July 25, 2023', 'MLS® #': '937947', 'Date Listed': 'Jul 24, 2023', 'Property Type': 'Single Family', 'Square Footage': '2,188 SQFT', 'Rooms': '13', 'Heating': 'Hot Water, Radiant Floor, Wood', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Crawl Space', 'Flooring': 'Concrete, Mixed', 'Area': 'Nanaimo', 'Roof': 'Fibreglass Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Additional Parking, Detached, Driveway, Garage Double, Guest, On Street, RV Access/Parking', 'Fireplace Features': 'Wood Burning', 'Exterior Features': 'Balcony/Deck, Low Maintenance Yard', 'Building Features': 'Transit Nearby'}"
"$989,000",4,3,"1,972","107 Harpooner Pl, Nanaimo, BC, V9V 1C3","Ocean view home in a quiet cul de sac in North Nanaimo. The main level is bright with West Coast-style large windows and vaulted ceilings in the living and dining rooms providing an abundance of natural light and showcasing the ocean and Coastal Mountains view. The kitchen features French doors leading to an oversized ocean view deck. Imagine sipping your morning coffee or hosting summer barbecues while watching cruise ships heading to Alaska. The primary bedroom is complete with a 3-piece ensuite and walk-in closet. On this main level, you'll also find two additional bedrooms and 4 pc bath. The lower level features a family room with French doors to the fully fenced backyard. A fourth bedroom, 3 pc bathroom, laundry and double car garage complete this level. The spacious lot has potential for RV parking. Immerse yourself in the tranquil atmosphere of the neighborhood with stunning ocean views, close to schools, beach access and all north end amenities.","{'Property Tax': '$5,795 (2023)', 'Last Updated': 'Sat, July 15, 2023', 'MLS® #': '937513', 'Date Listed': 'Jul 14, 2023', 'Property Type': 'Single Family', 'Square Footage': '1,972 SQFT', 'Rooms': '14', 'Heating': 'Heat Pump', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Finished, Full', 'Flooring': 'Carpet, Linoleum', 'Area': 'Nanaimo', 'Roof': 'Asphalt Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Garage Double', 'Fireplace Features': 'Wood Burning, Wood Burning Stove', 'Exterior Features': 'Balcony/Deck, Balcony/Patio, Fencing: Full'}"
